source_id,total_length_km
114N04472,1.69688
114N04473,3.10996
114N04474,0.77825
114N04475,2.8364
114N04476,5.6542900000000005
114N04477,0.15384
114N04478,0.61678
114N04479,1.7803400000000003
114N04480,0.21481999999999998
114N04481,0.43172
114N04482,0.90199
114N04483,0.67102
114N04484,1.1345100000000001
114N04485,1.14049
114N04486,0.5878899999999999
114N04487,0.7670899999999999
114N04488,1.02229
114N04489,0.40942
114N04490,0.6547
114N04491,1.32895
114N04492,4.233619999999999
114N04493,2.7820400000000003
114N04494,1.8989900000000002
114N04495,1.64515
114N04496,2.0192799999999997
114N04497,6.44267
114N04498,4.72864
114N04499,4.8272
114N04500,1.2432
114N04501,1.1646
114N04502,0.2804
114N04503,0.33531
114N04504,0.75761
114N04505,0.09022000000000001
114N04506,0.22895
114N04507,0.6131300000000001
114N04508,0.13007
114N04509,0.57713
114N04510,0.58525
114N04511,0.5942
114N04512,0.41913999999999996
114N04513,0.54438
114N04514,0.7854399999999999
114N04515,0.44953999999999994
114N04516,0.19904000000000002
114N04517,0.66313
114N04518,2.9647
114N04519,1.47403
114N04520,1.0678299999999998
114N04521,3.4468
114N04522,0.95996
114N04523,2.03178
114N04524,2.5865099999999996
114N04525,5.84628
114N04526,11.38815
114N04527,1.87379
114N04528,2.1760599999999997
114N04529,2.0737799999999997
114N04530,2.20424
114N04531,1.3473600000000001
114N04532,1.09374
114N04533,3.02788
114N04534,0.24613000000000002
114N04535,1.57064
114N04536,0.76774
114N04537,0.50942
114N04538,1.7395599999999998
114N04539,1.7534299999999998
114N04540,0.71257
114N04541,2.61803
114N04542,1.38875
114N04543,0.81071
114N04544,0.23706999999999998
114N04545,1.46975
114N04546,0.70039
114N04547,0.70468
114N04589,1.65724
114N04590,0.6591199999999999
114N04591,0.81904
114N04592,0.87405
114N04593,1.03244
114N04594,0.68985
114N04686,2.0800799999999997
114N04687,0.57513
114N04688,1.25239
114N04689,2.20635
114N04690,2.02196
114N04691,5.90912
114N04692,1.31926
114N04693,1.85205
114N04694,4.17971
114N04695,5.44108
114N04696,0.0291
114N04697,2.28625
114N04698,2.04457
114N04699,0.9853700000000001
114N04700,6.705830000000001
114N04701,3.66745
114N04702,4.11342
114N04703,1.6169200000000001
114N04704,0.49309
114N04705,0.92985
114N04706,0.0772
114N04707,1.13106
114N04708,7.381010000000001
114N04709,10.11373
114N04710,3.8425800000000003
114N04711,7.888780000000001
114N04712,3.41865
114N04713,1.67884
114N04714,3.4042
114N04715,5.06407
114N04716,4.23465
114N04717,4.15877
114N04718,4.08365
114N04719,9.062489999999999
114N04720,4.63485
114N04721,2.39684
114N04722,1.16829
114N04723,4.42056
114N04724,11.32235
114N04725,3.6296
114N04726,5.2107
114N04727,2.52472
114N04728,5.43648
114N04729,8.608939999999999
114N04730,7.279789999999999
114N04731,1.22886
114N04732,2.78552
114N04733,3.8592699999999995
114N04734,1.71102
114N04735,2.04504
114N04736,4.63636
114N04737,3.06323
114N04738,12.37318
114N04739,3.8787800000000003
114N04740,2.25907
114N04741,2.8437099999999997
